iso3,gpcp,year,lgpcp,lgpcp_l,lgpcp_l2,lgpcp_l3,lgpcp_l4
MDG,1336.5250923374615,2011,7.1978283100660025,7.141649154160354,7.199657884784093,7.1975124276645595,7.427944423904622
MDG,1566.919309237144,2012,7.356866747244046,7.1978283100660025,7.141649154160354,7.199657884784093,7.1975124276645595
MDG,1307.4919179297156,2013,7.175866014604268,7.356866747244046,7.1978283100660025,7.141649154160354,7.199657884784093
MDG,1276.5621521307362,2014,7.151925924983699,7.175866014604268,7.356866747244046,7.1978283100660025,7.141649154160354
MDG,1557.377750199702,2015,7.350758756537495,7.151925924983699,7.175866014604268,7.356866747244046,7.1978283100660025
MDG,1198.3074270122581,2016,7.088665362626585,7.350758756537495,7.151925924983699,7.175866014604268,7.356866747244046
MDG,1464.7208917886019,2017,7.2894199857499515,7.088665362626585,7.350758756537495,7.151925924983699,7.175866014604268
MDG,1292.3724379081073,2018,7.164234907437038,7.2894199857499515,7.088665362626585,7.350758756537495,7.151925924983699
MDG,1497.676089113785,2019,7.311669911800322,7.164234907437038,7.2894199857499515,7.088665362626585,7.350758756537495
MDG,1253.155628780731,2020,7.13342015211602,7.311669911800322,7.164234907437038,7.2894199857499515,7.088665362626585
MDG,1085.8084950964485,2021,6.990080145254015,7.13342015211602,7.311669911800322,7.164234907437038,7.2894199857499515
MDG,1333.519535018338,2022,7.195576992947341,6.990080145254015,7.13342015211602,7.311669911800322,7.164234907437038
MDG,1362.09963772032,2023,7.216782639481834,7.195576992947341,6.990080145254015,7.13342015211602,7.311669911800322
MDG,1238.7610498269917,2024,7.121867005747292,7.216782639481834,7.195576992947341,6.990080145254015,7.13342015211602
MLI,336.89475356653566,2005,5.819770577618458,5.72478067309436,,,
MLI,340.5874096120601,2006,5.830671802225507,5.819770577618458,5.72478067309436,,
MLI,329.97950454078926,2007,5.799030545079624,5.830671802225507,5.819770577618458,5.72478067309436,
MLI,384.23604739270604,2008,5.951257070484759,5.799030545079624,5.830671802225507,5.819770577618458,5.72478067309436
MLI,346.44607005168956,2009,5.8477271645300215,5.951257070484759,5.799030545079624,5.830671802225507,5.819770577618458
MLI,404.8142584610837,2010,6.00342834082398,5.8477271645300215,5.951257070484759,5.799030545079624,5.830671802225507
MLI,331.62570990626966,2011,5.804006953145457,6.00342834082398,5.8477271645300215,5.951257070484759,5.799030545079624
MLI,457.2741708433348,2012,6.125283147204285,5.804006953145457,6.00342834082398,5.8477271645300215,5.951257070484759
MLI,378.7379565554335,2013,5.936844558444573,6.125283147204285,5.804006953145457,6.00342834082398,5.8477271645300215
MLI,355.7145959087528,2014,5.874128712435698,5.936844558444573,6.125283147204285,5.804006953145457,6.00342834082398
MLI,375.17119617987987,2015,5.92738244494177,5.874128712435698,5.936844558444573,6.125283147204285,5.804006953145457
MLI,390.2312941027947,2016,5.966739625134079,5.92738244494177,5.874128712435698,5.936844558444573,6.125283147204285
MLI,364.2575265325657,2017,5.897861107957417,5.966739625134079,5.92738244494177,5.874128712435698,5.936844558444573
MLI,379.48614064536247,2018,5.938818076130241,5.897861107957417,5.966739625134079,5.92738244494177,5.874128712435698
MLI,381.5250230599212,2019,5.944176439818379,5.938818076130241,5.897861107957417,5.966739625134079,5.92738244494177
MLI,416.255227023496,2020,6.031298598629614,5.944176439818379,5.938818076130241,5.897861107957417,5.966739625134079
MLI,357.814740997057,2021,5.88001536921159,6.031298598629614,5.944176439818379,5.938818076130241,5.897861107957417
MLI,395.3788389135683,2022,5.979844391129275,5.88001536921159,6.031298598629614,5.944176439818379,5.938818076130241
MLI,339.71035202578616,2023,5.828093348725724,5.979844391129275,5.88001536921159,6.031298598629614,5.944176439818379
MLI,427.4913927110675,2024,6.057934154164924,5.828093348725724,5.979844391129275,5.88001536921159,6.031298598629614
MOZ,860.9842571284001,2005,6.758076219856853,7.028274781274358,,,
MOZ,1042.6782579008077,2006,6.949547929847839,6.758076219856853,7.028274781274358,,
MOZ,1279.452818568382,2007,7.154187780022239,6.949547929847839,6.758076219856853,7.028274781274358,
MOZ,1010.3850430072182,2008,6.918086767885561,7.154187780022239,6.949547929847839,6.758076219856853,7.028274781274358
MOZ,939.2269742240509,2009,6.845057169087357,6.918086767885561,7.154187780022239,6.949547929847839,6.758076219856853
MOZ,946.7776600217653,2010,6.853064282116173,6.845057169087357,6.918086767885561,7.154187780022239,6.949547929847839
MOZ,948.1378696171773,2011,6.854499923766431,6.853064282116173,6.845057169087357,6.918086767885561,7.154187780022239
MOZ,990.2141426644391,2012,6.897921225459582,6.854499923766431,6.853064282116173,6.845057169087357,6.918086767885561
MOZ,1131.9481222679217,2013,7.031695429327748,6.897921225459582,6.854499923766431,6.853064282116173,6.845057169087357
MOZ,1013.2090768896871,2014,6.920877876723088,7.031695429327748,6.897921225459582,6.854499923766431,6.853064282116173
MOZ,883.0015821643174,2015,6.783326992407924,6.920877876723088,7.031695429327748,6.897921225459582,6.854499923766431
MOZ,872.1601695425602,2016,6.770973087709825,6.783326992407924,6.920877876723088,7.031695429327748,6.897921225459582
MOZ,1176.8521032830079,2017,7.070598443700548,6.770973087709825,6.783326992407924,6.920877876723088,7.031695429327748
MOZ,991.2604727653993,2018,6.898977338104242,7.070598443700548,6.770973087709825,6.783326992407924,6.920877876723088
MOZ,1045.4607514159547,2019,6.952212977672352,6.898977338104242,7.070598443700548,6.770973087709825,6.783326992407924
MOZ,878.0365570427643,2020,6.777688229491298,6.952212977672352,6.898977338104242,7.070598443700548,6.770973087709825
MOZ,882.9194860644639,2021,6.783234014186655,6.777688229491298,6.952212977672352,6.898977338104242,7.070598443700548
MOZ,1033.0335294818506,2022,6.940254926948977,6.783234014186655,6.777688229491298,6.952212977672352,6.898977338104242
MOZ,1063.7436018126707,2023,6.969549665122299,6.940254926948977,6.783234014186655,6.777688229491298,6.952212977672352
MOZ,697.1743968262131,2024,6.547035590117597,6.969549665122299,6.940254926948977,6.783234014186655,6.777688229491298
MRT,156.5488900852312,2005,5.053368357905258,4.732440249933514,,,
MRT,137.03210593302114,2006,4.920215248248549,5.053368357905258,4.732440249933514,,
MRT,109.89509743516878,2007,4.699526251089425,4.920215248248549,5.053368357905258,4.732440249933514,
MRT,147.98808167599927,2008,4.9971317413052425,4.699526251089425,4.920215248248549,5.053368357905258,4.732440249933514
MRT,173.16577322297573,2009,5.154249362414026,4.9971317413052425,4.699526251089425,4.920215248248549,5.053368357905258
MRT,215.52865552318448,2010,5.3730938729691315,5.154249362414026,4.9971317413052425,4.699526251089425,4.920215248248549
MRT,113.83383802198126,2011,4.734739823908145,5.3730938729691315,5.154249362414026,4.9971317413052425,4.699526251089425
MRT,179.41871514841915,2012,5.189722264966377,4.734739823908145,5.3730938729691315,5.154249362414026,4.9971317413052425
MRT,149.55791782163968,2013,5.007683727984986,5.189722264966377,4.734739823908145,5.3730938729691315,5.154249362414026
MRT,116.27396994811266,2014,4.755949216314634,5.007683727984986,5.189722264966377,4.734739823908145,5.3730938729691315
MRT,153.48217410483605,2015,5.033584430673498,4.755949216314634,5.007683727984986,5.189722264966377,4.734739823908145
MRT,153.90495728209692,2016,5.036335251385828,5.033584430673498,4.755949216314634,5.007683727984986,5.189722264966377
MRT,130.09703510168086,2017,4.868280595878923,5.036335251385828,5.033584430673498,4.755949216314634,5.007683727984986
MRT,159.7576729513244,2018,5.073658123098399,4.868280595878923,5.036335251385828,5.033584430673498,4.755949216314634
MRT,119.23300290121696,2019,4.7810795862864826,5.073658123098399,4.868280595878923,5.036335251385828,5.033584430673498
MRT,173.51270948964472,2020,5.156250850246625,4.7810795862864826,5.073658123098399,4.868280595878923,5.036335251385828
MRT,126.95365734260122,2021,4.843822117051195,5.156250850246625,4.7810795862864826,5.073658123098399,4.868280595878923
MRT,177.9206564763202,2022,5.1813377007829295,4.843822117051195,5.156250850246625,4.7810795862864826,5.073658123098399
MRT,134.60186251461656,2023,4.902321254519175,5.1813377007829295,4.843822117051195,5.156250850246625,4.7810795862864826
MRT,167.43503005076826,2024,5.120595395726181,4.902321254519175,5.1813377007829295,4.843822117051195,5.156250850246625
MWI,897.4001733064651,2005,6.799501886662507,7.184166269390632,,,
MWI,1312.6690655043349,2006,7.179817797983076,6.799501886662507,7.184166269390632,,
MWI,1204.312205735594,2007,7.093663899343857,7.179817797983076,6.799501886662507,7.184166269390632,
MWI,1197.7329455632716,2008,7.088185836933637,7.093663899343857,7.179817797983076,6.799501886662507,7.184166269390632
MWI,1140.7149368368555,2009,7.03941048239614,7.088185836933637,7.093663899343857,7.179817797983076,6.799501886662507
MWI,1043.4461553823203,2010,6.950284125168986,7.03941048239614,7.088185836933637,7.093663899343857,7.179817797983076
MWI,1132.9574202690274,2011,7.032586678917595,6.950284125168986,7.03941048239614,7.088185836933637,7.093663899343857
MWI,1040.152546714875,2012,6.947122660912561,7.032586678917595,6.950284125168986,7.03941048239614,7.088185836933637
MWI,1105.1874832995236,2013,7.007770267704207,6.947122660912561,7.032586678917595,6.950284125168986,7.03941048239614
MWI,1052.7990725189447,2014,6.959207679604617,7.007770267704207,6.947122660912561,7.032586678917595,6.950284125168986
MWI,972.4326609559357,2015,6.879800829862207,6.959207679604617,7.007770267704207,6.947122660912561,7.032586678917595
MWI,984.3411461259238,2016,6.891972530185449,6.879800829862207,6.959207679604617,7.007770267704207,6.947122660912561
MWI,1269.8672844171524,2017,7.146667673533148,6.891972530185449,6.879800829862207,6.959207679604617,7.007770267704207
MWI,1144.5696970112622,2018,7.042784034883375,7.146667673533148,6.891972530185449,6.879800829862207,6.959207679604617
MWI,1288.4229237344116,2019,7.161174209703613,7.042784034883375,7.146667673533148,6.891972530185449,6.879800829862207
MWI,850.5192186558379,2020,6.74584700847166,7.161174209703613,7.042784034883375,7.146667673533148,6.891972530185449
MWI,687.3207407656009,2021,6.532801054837378,6.74584700847166,7.161174209703613,7.042784034883375,7.146667673533148
MWI,980.0014663035981,2022,6.88755406789166,6.532801054837378,6.74584700847166,7.161174209703613,7.042784034883375
MWI,935.9214610030176,2023,6.841531563772209,6.88755406789166,6.532801054837378,6.74584700847166,7.161174209703613
MWI,779.9946620208211,2024,6.65928707609717,6.841531563772209,6.88755406789166,6.532801054837378,6.74584700847166
NAM,266.19298853979456,2005,5.584221566544991,5.7584324954672725,,,
NAM,549.4180015273265,2006,6.308859538918574,5.584221566544991,5.7584324954672725,,
NAM,177.63525913725607,2007,5.179732342031607,6.308859538918574,5.584221566544991,5.7584324954672725,
NAM,418.3148120366545,2008,6.036234287901686,5.179732342031607,6.308859538918574,5.584221566544991,5.7584324954672725
NAM,472.3521036402619,2009,6.157724689767758,6.036234287901686,5.179732342031607,6.308859538918574,5.584221566544991
NAM,289.7840037270084,2010,5.669135830733766,6.157724689767758,6.036234287901686,5.179732342031607,6.308859538918574
NAM,511.3684897013194,2011,6.23709044520068,5.669135830733766,6.157724689767758,6.036234287901686,5.179732342031607
NAM,346.0779182297019,2012,5.846663946900312,6.23709044520068,5.669135830733766,6.157724689767758,6.036234287901686
NAM,203.3962195897898,2013,5.315155897354174,5.846663946900312,6.23709044520068,5.669135830733766,6.157724689767758
NAM,309.8802210604772,2014,5.736185839137906,5.315155897354174,5.846663946900312,6.23709044520068,5.669135830733766
NAM,171.20936815535376,2015,5.142887182744136,5.736185839137906,5.315155897354174,5.846663946900312,6.23709044520068
NAM,212.7492901023308,2016,5.360114430678614,5.142887182744136,5.736185839137906,5.315155897354174,5.846663946900312
NAM,334.3456301822708,2017,5.812175278823644,5.360114430678614,5.142887182744136,5.736185839137906,5.315155897354174
NAM,193.34833875141868,2018,5.264493426092002,5.812175278823644,5.360114430678614,5.142887182744136,5.736185839137906
NAM,170.95452538695693,2019,5.141397587726492,5.264493426092002,5.812175278823644,5.360114430678614,5.142887182744136
NAM,231.10111259296536,2020,5.442855331604382,5.141397587726492,5.264493426092002,5.812175278823644,5.360114430678614
NAM,270.6013141307472,2021,5.600646572083902,5.442855331604382,5.141397587726492,5.264493426092002,5.812175278823644
NAM,278.3659401099854,2022,5.6289365794169655,5.600646572083902,5.442855331604382,5.141397587726492,5.264493426092002
NAM,216.50190265853996,2023,5.377599335665082,5.6289365794169655,5.600646572083902,5.442855331604382,5.141397587726492
NAM,199.76398421580433,2024,5.297136590785656,5.377599335665082,5.6289365794169655,5.600646572083902,5.442855331604382
NER,224.12346432682057,2005,5.412197080041569,5.1132879467282795,,,
NER,202.3055982382989,2006,5.309779416743351,5.412197080041569,5.1132879467282795,,
NER,220.90768916275033,2007,5.397744918162287,5.309779416743351,5.412197080041569,5.1132879467282795,
NER,206.77061847346062,2008,5.331610055526165,5.397744918162287,5.309779416743351,5.412197080041569,5.1132879467282795
NER,183.18759323561562,2009,5.210510727433742,5.331610055526165,5.397744918162287,5.309779416743351,5.412197080041569
NER,259.7808893173618,2010,5.559838542321349,5.210510727433742,5.331610055526165,5.397744918162287,5.309779416743351
NER,172.18571694211423,2011,5.148573643966513,5.559838542321349,5.210510727433742,5.331610055526165,5.397744918162287
NER,258.8131863992162,2012,5.5561065134122565,5.148573643966513,5.559838542321349,5.210510727433742,5.331610055526165
NER,204.41281776923097,2013,5.32014156560622,5.5561065134122565,5.148573643966513,5.559838542321349,5.210510727433742
NER,193.91377813527333,2014,5.267413617667758,5.32014156560622,5.5561065134122565,5.148573643966513,5.559838542321349
NER,208.7997826045048,2015,5.3413758148417765,5.267413617667758,5.32014156560622,5.5561065134122565,5.148573643966513
NER,225.83597080698792,2016,5.41980894286768,5.3413758148417765,5.267413617667758,5.32014156560622,5.5561065134122565
NER,213.02979480081083,2017,5.36143203762084,5.41980894286768,5.3413758148417765,5.267413617667758,5.32014156560622
NER,247.15304421648926,2018,5.5100077569600945,5.36143203762084,5.41980894286768,5.3413758148417765,5.267413617667758
NER,255.47892365470852,2019,5.543139915652999,5.5100077569600945,5.36143203762084,5.41980894286768,5.3413758148417765
NER,283.32124261769513,2020,5.646581386791712,5.543139915652999,5.5100077569600945,5.36143203762084,5.41980894286768
NER,199.75603117745595,2021,5.297096777819882,5.646581386791712,5.543139915652999,5.5100077569600945,5.36143203762084
NER,243.48481285576736,2022,5.4950545703753555,5.297096777819882,5.646581386791712,5.543139915652999,5.5100077569600945
NER,212.30003036804055,2023,5.358000511752255,5.4950545703753555,5.297096777819882,5.646581386791712,5.543139915652999
NER,343.767558250231,2024,5.839965726222443,5.358000511752255,5.4950545703753555,5.297096777819882,5.646581386791712
NGA,1267.4527969531111,2005,7.144764493709238,7.143648798551716,,,
NGA,1389.2795774186327,2006,7.2365406021393595,7.144764493709238,7.143648798551716,,
NGA,1371.3933876528913,2007,7.22358257323509,7.2365406021393595,7.144764493709238,7.143648798551716,
NGA,1351.044994798743,2008,7.2086336422159265,7.22358257323509,7.2365406021393595,7.144764493709238,7.143648798551716
NGA,1381.9355088532056,2009,7.231240338154255,7.2086336422159265,7.22358257323509,7.2365406021393595,7.144764493709238
NGA,1417.683462493873,2010,7.2567794540304185,7.231240338154255,7.2086336422159265,7.22358257323509,7.2365406021393595
NGA,1206.750661318111,2011,7.095686622556289,7.2567794540304185,7.231240338154255,7.2086336422159265,7.22358257323509
NGA,1459.0046990786425,2012,7.285509769270609,7.095686622556289,7.2567794540304185,7.231240338154255,7.2086336422159265
NGA,1224.1247818470424,2013,7.109981403829602,7.285509769270609,7.095686622556289,7.2567794540304185,7.231240338154255
NGA,1289.9775954700626,2014,7.16238012935223,7.109981403829602,7.285509769270609,7.095686622556289,7.2567794540304185
NGA,1039.6933572181044,2015,6.946681099830211,7.16238012935223,7.109981403829602,7.285509769270609,7.095686622556289
NGA,1324.1758822864715,2016,7.188545569280385,6.946681099830211,7.16238012935223,7.109981403829602,7.285509769270609
NGA,1257.0610492054204,2017,7.136531774797859,7.188545569280385,6.946681099830211,7.16238012935223,7.109981403829602
NGA,1303.363015620038,2018,7.172703138184996,7.136531774797859,7.188545569280385,6.946681099830211,7.16238012935223
NGA,1337.11038369823,2019,7.198266134425654,7.172703138184996,7.136531774797859,7.188545569280385,6.946681099830211
NGA,1291.0847956351988,2020,7.163238070823824,7.198266134425654,7.172703138184996,7.136531774797859,7.188545569280385
NGA,1103.6537371234842,2021,7.006381533730615,7.163238070823824,7.198266134425654,7.172703138184996,7.136531774797859
NGA,1204.7504970524353,2022,7.094027768097601,7.006381533730615,7.163238070823824,7.198266134425654,7.172703138184996
NGA,1227.102594392494,2023,7.112411055227267,7.094027768097601,7.006381533730615,7.163238070823824,7.198266134425654
NGA,1149.3091503949333,2024,7.046916302054437,7.112411055227267,7.094027768097601,7.006381533730615,7.163238070823824
RWA,1769.1871752738953,2005,7.478275497083597,7.601925614600778,,,
RWA,2049.7810208797455,2006,7.625488247343839,7.478275497083597,7.601925614600778,,
RWA,1901.5284881591797,2007,7.550413309196228,7.625488247343839,7.478275497083597,7.601925614600778,
RWA,1857.571917295456,2008,7.5270254930943485,7.550413309196228,7.625488247343839,7.478275497083597,7.601925614600778
RWA,1731.3145904541016,2009,7.456636277805248,7.5270254930943485,7.550413309196228,7.625488247343839,7.478275497083597
RWA,2033.5326172113419,2010,7.617529765155371,7.456636277805248,7.5270254930943485,7.550413309196228,7.625488247343839
RWA,2031.7475481033325,2011,7.616651562842052,7.617529765155371,7.456636277805248,7.5270254930943485,7.550413309196228
RWA,1890.6031517982483,2012,7.544651185078781,7.616651562842052,7.617529765155371,7.456636277805248,7.5270254930943485
RWA,1636.4249114990234,2013,7.40026920929492,7.544651185078781,7.616651562842052,7.617529765155371,7.456636277805248
RWA,1593.1405225992203,2014,7.373462518573988,7.40026920929492,7.544651185078781,7.616651562842052,7.617529765155371
RWA,1862.768835067749,2015,7.5298192808135305,7.373462518573988,7.40026920929492,7.544651185078781,7.616651562842052
RWA,1731.7943134307861,2016,7.456913325390563,7.5298192808135305,7.373462518573988,7.40026920929492,7.544651185078781
RWA,1555.472497701645,2017,7.349534635500992,7.456913325390563,7.5298192808135305,7.373462518573988,7.40026920929492
RWA,1737.2951283454895,2018,7.460084658743208,7.349534635500992,7.456913325390563,7.5298192808135305,7.373462518573988
RWA,1591.7327573299408,2019,7.372578486314474,7.460084658743208,7.349534635500992,7.456913325390563,7.5298192808135305
RWA,1549.488000512123,2020,7.345679833094637,7.372578486314474,7.460084658743208,7.349534635500992,7.456913325390563
RWA,1482.3404893875122,2021,7.301377529391657,7.345679833094637,7.372578486314474,7.460084658743208,7.349534635500992
